,證券代碼,簡稱,TEJ產業指數
0,1101,台泥         ,TEJN01  傳產- 水泥            
1,1102,亞泥         ,TEJN01  傳產- 水泥            
2,1103,嘉泥         ,TEJN01  傳產- 水泥            
3,1104,環泥         ,TEJN01  傳產- 水泥            
4,1108,幸福         ,TEJN01  傳產- 水泥            
5,1109,信大         ,TEJN01  傳產- 水泥            
6,1110,東泥         ,TEJN01  傳產- 水泥            
7,1201,味全         ,TEJN02  傳產- 食品            
8,1203,味王         ,TEJN02  傳產- 食品            
9,1210,大成         ,TEJN02  傳產- 食品            
10,1213,大飲         ,TEJN02  傳產- 食品            
11,1215,卜蜂         ,TEJN02  傳產- 食品            
12,1216,統一         ,TEJN02  傳產- 食品            
13,1217,愛之味       ,TEJN02  傳產- 食品            
14,1218,泰山         ,TEJN02  傳產- 食品            
15,1219,福壽         ,TEJN02  傳產- 食品            
16,1220,台榮         ,TEJN02  傳產- 食品            
17,1225,福懋油       ,TEJN02  傳產- 食品            
18,1227,佳格         ,TEJN02  傳產- 食品            
19,1229,聯華         ,TEJN02  傳產- 食品            
20,1231,聯華食       ,TEJN02  傳產- 食品            
21,1232,大統益       ,TEJN02  傳產- 食品            
22,1233,天仁         ,TEJN02  傳產- 食品            
23,1234,黑松         ,TEJN02  傳產- 食品            
24,1235,興泰         ,TEJN02  傳產- 食品            
25,1236,宏亞         ,TEJN02  傳產- 食品            
26,1256,鮮活果汁-KY  ,TEJN02  傳產- 食品            
27,1301,台塑         ,TEJN03  傳產- 塑膠原料        
28,1303,南亞         ,TEJN03  傳產- 塑膠原料        
29,1304,台聚         ,TEJN03  傳產- 塑膠原料        
30,1305,華夏         ,TEJN03  傳產- 塑膠原料        
31,1307,三芳         ,TEJN04  傳產- 塑膠製品        
32,1308,亞聚         ,TEJN03  傳產- 塑膠原料        
33,1309,台達化       ,TEJN03  傳產- 塑膠原料        
34,1310,台苯         ,TEJN03  傳產- 塑膠原料        
35,1312,國喬         ,TEJN03  傳產- 塑膠原料        
36,1313,聯成         ,TEJN03  傳產- 塑膠原料        
37,1314,中石化       ,TEJN03  傳產- 塑膠原料        
38,1315,達新         ,TEJN04  傳產- 塑膠製品        
39,1316,上曜         ,TEJN17  傳產- 營建            
40,1319,東陽         ,TEJN16  傳產- 汽車            
41,1321,大洋         ,TEJN04  傳產- 塑膠製品        
42,1323,永裕         ,TEJN04  傳產- 塑膠製品        
43,1324,地球         ,TEJN04  傳產- 塑膠製品        
44,1325,_大         ,TEJN05  傳產- 紡織            
45,1326,台化         ,TEJN03  傳產- 塑膠原料        
46,1337,再生-KY      ,TEJN04  傳產- 塑膠製品        
47,1338,廣華-KY      ,TEJN16  傳產- 汽車            
48,1339,昭輝         ,TEJN16  傳產- 汽車            
49,1340,勝悅-KY      ,TEJN04  傳產- 塑膠製品        
50,1341,富林-KY      ,TEJN04  傳產- 塑膠製品        
51,1342,八貫         ,TEJN04  傳產- 塑膠製品        
52,1402,遠東新       ,TEJN05  傳產- 紡織            
53,1409,新纖         ,TEJN05  傳產- 紡織            
54,1410,南染         ,TEJN05  傳產- 紡織            
55,1413,宏洲         ,TEJN05  傳產- 紡織            
56,1414,東和         ,TEJN05  傳產- 紡織            
57,1416,廣豐         ,                              
58,1417,嘉裕         ,TEJN05  傳產- 紡織            
59,1418,東華         ,TEJN05  傳產- 紡織            
60,1419,新紡         ,TEJN05  傳產- 紡織            
61,1423,利華         ,TEJN05  傳產- 紡織            
62,1432,大魯閣       ,TEJN21  傳產- 百貨貿易        
63,1434,福懋         ,TEJN05  傳產- 紡織            
64,1435,中福         ,                              
65,1436,華友聯       ,TEJN17  傳產- 營建            
66,1437,勤益控       ,TEJN17  傳產- 營建            
67,1438,三地開發     ,TEJN17  傳產- 營建            
68,1439,雋揚         ,TEJN17  傳產- 營建            
69,1440,南紡         ,TEJN05  傳產- 紡織            
70,1441,大東         ,TEJN05  傳產- 紡織            
71,1442,名軒         ,TEJN17  傳產- 營建            
72,1443,立益物流     ,TEJN19  傳產- 陸運            
73,1444,力麗         ,TEJN05  傳產- 紡織            
74,1445,大宇         ,TEJN05  傳產- 紡織            
75,1446,宏和         ,TEJN05  傳產- 紡織            
76,1447,力鵬         ,TEJN05  傳產- 紡織            
77,1449,佳和         ,TEJN05  傳產- 紡織            
78,1451,年興         ,TEJN05  傳產- 紡織            
79,1452,宏益         ,TEJN05  傳產- 紡織            
80,1453,大將         ,TEJN17  傳產- 營建            
81,1454,台富         ,TEJN05  傳產- 紡織            
82,1455,集盛         ,TEJN05  傳產- 紡織            
83,1456,怡華         ,TEJN17  傳產- 營建            
84,1457,宜進         ,TEJN05  傳產- 紡織            
85,1459,聯發         ,TEJN05  傳產- 紡織            
86,1460,宏遠         ,TEJN05  傳產- 紡織            
87,1463,強盛         ,TEJN05  傳產- 紡織            
88,1464,得力         ,TEJN05  傳產- 紡織            
89,1465,偉全         ,TEJN05  傳產- 紡織            
90,1466,聚隆         ,TEJN05  傳產- 紡織            
91,1467,南緯         ,TEJN05  傳產- 紡織            
92,1468,昶和         ,TEJN05  傳產- 紡織            
93,1470,大統新創     ,TEJN05  傳產- 紡織            
94,1471,首利         ,TEJT11  電子- 電源供應器      
95,1472,三洋實業     ,TEJN17  傳產- 營建            
96,1473,台南         ,TEJN05  傳產- 紡織            
97,1474,弘裕         ,TEJN05  傳產- 紡織            
98,1475,業旺         ,TEJN05  傳產- 紡織            
99,1476,儒鴻         ,TEJN05  傳產- 紡織            
100,1477,聚陽         ,TEJN05  傳產- 紡織            
101,1503,士電         ,TEJN07  傳產- 電機及家電      
102,1504,東元         ,TEJN07  傳產- 電機及家電      
103,1506,正道         ,TEJN16  傳產- 汽車            
104,1512,瑞利         ,TEJN16  傳產- 汽車            
105,1513,中興電       ,TEJN07  傳產- 電機及家電      
106,1514,亞力         ,TEJN07  傳產- 電機及家電      
107,1515,力山         ,                              
108,1516,川飛         ,TEJO99  其它業別              
109,1517,利奇         ,TEJN23  傳產- 運動休閒        
