,證券代碼,簡稱,TEJ產業指數,class
94,1471,首利         ,TEJT11  電子- 電源供應器      ,E
125,1537,廣隆         ,TEJT14  電子- 電子零組件其他  ,E
131,1560,中砂         ,TEJT16  電子- 晶圓製造        ,E
133,1582,信錦         ,TEJT14  電子- 電子零組件其他  ,E
258,2301,光寶科       ,TEJT05  電子- PC週邊          ,E
259,2302,麗正         ,TEJT14  電子- 電子零組件其他  ,E
260,2303,聯電         ,TEJT16  電子- 晶圓製造        ,E
261,2305,全友         ,TEJT05  電子- PC週邊          ,E
262,2308,台達電       ,TEJT11  電子- 電源供應器      ,E
263,2312,金寶         ,TEJT01  電子- PC              ,E
264,2313,華通         ,TEJT03  電子- PCB             ,E
265,2314,台揚         ,TEJT15  電子- 網通            ,E
266,2316,楠梓電       ,TEJT03  電子- PCB             ,E
267,2317,鴻海         ,TEJT01  電子- PC              ,E
269,2323,中環         ,TEJT05  電子- PC週邊          ,E
270,2324,仁寶         ,TEJT01  電子- PC              ,E
271,2327,國巨         ,TEJT13  電子- 被動元件        ,E
272,2328,廣宇         ,TEJT10  電子- 連接器          ,E
273,2329,華泰         ,TEJT16  電子- 晶圓製造        ,E
274,2330,台積電       ,TEJT16  電子- 晶圓製造        ,E
275,2331,精英         ,TEJT02  電子- 主機板          ,E
276,2332,友訊         ,TEJT15  電子- 網通            ,E
277,2337,旺宏         ,TEJT16  電子- 晶圓製造        ,E
278,2338,光罩         ,TEJT16  電子- 晶圓製造        ,E
279,2340,台亞         ,TEJT06  電子- LED             ,E
280,2342,茂矽         ,TEJT16  電子- 晶圓製造        ,E
281,2344,華邦電       ,TEJT16  電子- 晶圓製造        ,E
282,2345,智邦         ,TEJT15  電子- 網通            ,E
283,2347,聯強         ,TEJT20  電子- 資訊通路        ,E
285,2349,錸德         ,TEJT05  電子- PC週邊          ,E
286,2351,順德         ,TEJT16  電子- 晶圓製造        ,E
287,2352,佳世達       ,TEJT05  電子- PC週邊          ,E
288,2353,宏_         ,TEJT01  電子- PC              ,E
289,2354,鴻準         ,TEJT12  電子- 機殼            ,E
290,2355,敬鵬         ,TEJT03  電子- PCB             ,E
291,2356,英業達       ,TEJT01  電子- PC              ,E
292,2357,華碩         ,TEJT01  電子- PC              ,E
294,2359,所羅門       ,TEJT20  電子- 資訊通路        ,E
295,2360,致茂         ,TEJT18  電子- 電子設備        ,E
296,2362,藍天         ,TEJT01  電子- PC              ,E
297,2363,矽統         ,TEJT17  電子- IC設計          ,E
298,2364,倫飛         ,TEJT01  電子- PC              ,E
299,2365,昆盈         ,TEJT05  電子- PC週邊          ,E
300,2367,燿華         ,TEJT03  電子- PCB             ,E
301,2368,金像電       ,TEJT03  電子- PCB             ,E
302,2369,菱生         ,TEJT16  電子- 晶圓製造        ,E
304,2373,震旦行       ,TEJT20  電子- 資訊通路        ,E
