Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2023/1/3,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,1326,3711,1216,5880,2892,2603
2023/1/4,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2603
2023/1/5,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2603
2023/1/6,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/9,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/10,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/11,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/12,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/13,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/16,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/17,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/30,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2891,2886,3711,1326,1216,5880,2892,2884
2023/1/31,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2886,2891,3711,1326,1216,5880,2892,2884
2023/2/1,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2886,2891,3711,1326,1216,5880,2892,2884
2023/2/2,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,2886,3711,2891,1326,1216,5880,2892,2884
2023/2/3,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,3711,2886,2891,1326,1216,5880,2892,2884
2023/2/6,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,3711,2886,2891,1326,1216,5880,2892,2884
2023/2/7,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,3711,2886,2891,1326,1216,5880,2892,2884
2023/2/8,2330,2317,2454,2412,6505,2308,2881,2882,1303,1301,2303,2002,3711,2886,2891,1326,1216,5880,2892,2884
2023/2/9,2330,2317,2454,2412,6505,2308,2881,2882,1303,2303,1301,2002,3711,2886,2891,1326,1216,5880,2892,2884
2023/2/10,2330,2317,2454,2412,6505,2308,2881,2882,1303,2303,1301,2002,3711,2886,2891,1326,1216,5880,2884,2892
2023/2/13,2330,2317,2454,2412,6505,2308,2881,2882,1303,2303,1301,2002,3711,2886,2891,1326,1216,5880,2884,2892
2023/2/14,2330,2317,2454,2412,6505,2308,2881,2882,1303,2303,1301,2002,3711,2886,2891,1326,1216,5880,2884,2892
